"Name","Location","Data Type","EOL Comment"
"CAL_ac_enable_tps","003f9933","u8_factor_1/255","When the tps is below this position threshold\, enable the A/C compressor."
"CAL_ac_disable_user_min_time","003f9934","u8_time_5ms","Once the A/C is disabled by the user\, the A/C compressor will be held off at least this amount of time. Only afterwards it will be allowed to be turned back on."
"CAL_fan_low_on","003f9935","u8_temp_5/8-40c","When the engine coolant is above this temperature threshold\, turn on the low speed fan."
"CAL_fan_low_off","003f9936","u8_temp_5/8-40c","When the engine coolant is below this temperature threshold\, turn off the low speed fan."
"CAL_fan_low_on_engine_off","003f9937","u8_temp_5/8-40c","WITH ENGINE OFF (HEAT SOAK): When the engine coolant is above this temperature threshold\, turn on the low speed fan."
"CAL_fan_low_off_engine_off","003f9938","u8_temp_5/8-40c","WITH ENGINE OFF (HEAT SOAK): When the engine coolant is below this temperature threshold\, turn off the low speed fan."
"CAL_fan_high_on","003f9939","u8_temp_5/8-40c","When the engine coolant is above this temperature threshold\, turn on the high speed fan."
"CAL_fan_high_off","003f993a","u8_temp_5/8-40c","When the engine coolant is below this temperature threshold\, turn off the high speed fan."
"CAL_fan_cutoff","003f993b","u8_speed_kph","When the car is above this speed threshold\, turn off the fan."
"CAL_idle_flow_adj1_corr_max_threshold","003f993c","u8_flow_100mg/s","The ECU will make a +10.24mg/s correction to the learned_flow_adj1 value\, if the flow_adj8 is above this threshold."
"CAL_idle_flow_adj1_corr_min_threshold","003f993d","u8_flow_-100mg/s","The ECU will make a -10.24mg/s correction to the learned_flow_adj1 value\, if the flow_adj8 is below this threshold."
"CAL_idle_flow_adj1_corr_max","003f993e","u8_flow_100mg/s","Maximum learned_flow_adj1 value. The ECU will not make correction above this value."
"CAL_idle_flow_adj1_corr_min","003f993f","u8_flow_-100mg/s","Minimum learned_flow_adj1 value. The ECU will not make correction below this value."
"CAL_closedloop_min_engine_air","003f9940","u8_temp_5/8-40c","Minimum engine air temperature to enable the closed loop operation."
"CAL_closedloop_stft_idle_time_between_step","003f9943","u8_time_5ms","WITH IDLING ENGINE: Minimum time between stft corrections. At 1200rpm.

Formula: time = TIME_BETWEEN_STEP * 1200 / engine_speed"
"CAL_ac_disable_engine_speed","003f9944","u8_rspeed_125/4+500rpm","When the engine is above this speed threshold\, disable the A/C compressor."
"CAL_ac_enable_engine_speed","003f9945","u8_rspeed_125/4+500rpm","When the engine is below this speed threshold\, enable the A/C compressor."
"CAL_ac_disable_pps_min_time","003f9946","u8_time_100ms","If the A/C compressor is disabled by the pps position threshold\, it will be held off for at least this amount of time."
"CAL_misc_engine_detection_on_minimum_crank_tooth","003f9947","uint8_t",""
"CAL_ac_enable_user_min_time","003f9948","u8_time_5ms","Once the A/C is enabled by the user\, the A/C compressor will be held on at least this amount of time. Only afterwards it will be allowed to be turned back off."
"CAL_misc_recirculation_pump_on_engine_off","003f9949","u8_temp_5/8-40c","WITH ENGINE OFF (HEAT SOAK): When the engine coolant is above this temperature threshold\, turn on the recirculation pump."
"CAL_misc_recirculation_pump_off_engine_off","003f994a","u8_temp_5/8-40c","WITH ENGINE OFF (HEAT SOAK): When the engine coolant is below this temperature threshold\, turn off the recirculation pump."
"CAL_load_alphaN_adj_corr_max","003f994b","u8_factor_1/100","Maximum alphaN adj value. The ECU will not make correction above this value."
"CAL_load_alphaN_adj_corr_min","003f994c","u8_factor_1/100","Minimum alphaN adj value. The ECU will not make correction below this value."
"CAL_tc_car_speed_reactivity","003f994f","u8_factor_1/256","At every cycle\, the sampled car speed value is mixed with the previous value.

Formula: value = (100% - REACTIVITY) * previous + REACTIVITY * sample"
"CAL_load_alphaN_adj_corr_min_coolant","003f9950","u8_temp_5/8-40c","The ECU will not make correction to the alphaN adj table\, unless the engine coolant is above this temperature threshold."
"CAL_fan_high_off_user_delay","003f9951","u8_time_s","The signal AC REQ FAN also controls the high speed fan. But when this signal is deasserted\, a delay defined by this value is used before the fan is turned off."
"CAL_sensor_engine_air_reactivity","003f9953","u8_factor_1/2560","At every cycle\, the sampled engine air value is mixed with the previous value.

Formula: value = (100% - REACTIVITY) * previous + REACTIVITY * sample"
"CAL_sensor_coolant_reactivity","003f9954","u8_factor_1/2560","At every cycle\, the sampled coolant value is mixed with the previous value.

Formula: value = (100% - REACTIVITY) * previous + REACTIVITY * sample"
"CAL_sensor_intake_air_reactivity","003f9955","u8_factor_1/2560","At every cycle\, the sampled intake air value is mixed with the previous value.

Formula: value = (100% - REACTIVITY) * previous + REACTIVITY * sample"
"CAL_sensor_fuel_reactivity","003f9957","u8_factor_1/256","At every cycle\, the sampled fuel level value is mixed with the previous value.
Note: This does not have an influence on the fuel gauge of the instrument cluster.

Formula: value = (100% - REACTIVITY) * previous + REACTIVITY * sample"
"CAL_ac_disable_car_speed","003f9958","u8_speed_kph","When the car is above this speed threshold\, disable the A/C compressor."
"CAL_ac_enable_car_speed","003f9959","u8_speed_kph","When the car is below this speed threshold\, enable the A/C compressor."
"CAL_ecu_ign_threshold","003f995b","u8_voltage_72/1023v","By turning the key on the IGN position\, power is asserted to a dedicated input of the ECU and is considered active if above this threshold."
"CAL_dfso_enable_car_speed","003f995c","u8_speed_kph","When the car is above this speed threshold\, enable the deceleration fuel shut off."
"CAL_dfso_disable_car_speed","003f995d","u8_speed_kph","When the car is below this speed threshold\, disable the deceleration fuel shut off."
"CAL_sensor_O2_heater_warmup_period","003f995f","u8_time_5ms","The duty cylce is hard coded to 80% but the period can be changed."
"CAL_sensor_O2_heater_warmup_time","003f9960","u16_time_5ms","Once the engine is running and during this WARMUP time\, the O2 heater will be progressively heated up (80% heater duty cycle)."
"CAL_knock_retard1_limit","003f9962","u8_angle_1/4deg","Maximium allowed value for retard1."
"CAL_knock_retard2_corr_inc_coef","003f9965","uint8_t","The ECU will make corrections to the retard2 value\, if the engine load is above the retard2_corr_threshold.

Formula (retard1 is 0): retard2 = retard2 - retard2_corr_dec_step
Formula (retard1  > 0): retard2 = retard2 + retard1 * RETARD2_CORR_INC_COEF

Note: retard2 is saved in the eeprom."
"CAL_knock_retard2_corr_dec_step","003f9966","uint8_t","The ECU will make corrections to the retard2 value\, if the engine load is above the retard2_corr_threshold.

Formula (retard1 is 0): retard2 = retard2 - RETARD2_CORR_DEC_STEP
Formula (retard1  > 0): retard2 = retard2 + retard1 * retard2_corr_inc_coef

Note: retard2 is saved in the eeprom."
"CAL_knock_retard1_engine_speed_max","003f9967","u8_rspeed_125/4+500rpm","If the engine is above this speed threshold\, disable retard1. It will be re-enable when the engine speed will be below this threshold minus the speed_margin."
"CAL_knock_retard1_engine_speed_min","003f9968","u8_rspeed_125/4+500rpm","If the engine is below this speed threshold\, disable retard1. It will be re-enable when the engine speed will be above this threshold plus the speed_margin."
"CAL_knock_retard1_min_coolant","003f9969","u8_temp_5/8-40c","If the engine coolant is below this temperature threshold\, disable retard1."
"CAL_knock_signal_fadeout_step","003f996a","uint8_t","WHEN KNOCK IS DETECTED: Fadeout the peak by incrementing the average.

Formula: signal_avg = signal_avg + SIGNAL_FADEOUT_STEP"
"CAL_knock_signal_reactivity","003f996b","u8_factor_1/256","To separate real knock from noise\, a peak detection is build for every cylinders.

Formula:

signal_avg = (100% - REACTIVITY) * signal_avg + REACTIVITY * signal
peak = (signal * 10) / (signal_avg + 1)
peak_over_threshold = peak - threshold"
"CAL_knock_speed_margin","003f996c","u8_rspeed_125/4rpm","Engine speed margin for retard1_engine_speed_min and retard1_engine_speed_max thresholds."
"CAL_knock_load_margin","003f996d","u8_load_4mg/stroke","Engine load margin for retard_threshold and retard2_corr_threshold thresholds."
"CAL_knock_retard1_dt_tps2_time","003f996e","u8_time_5ms","If the retard1 is disabled by a change in tps\, it will be re-enable after this amount of time."
"CAL_knock_retard1_max_?","003f996f","undefined1",""
"CAL_knock_retard1_dt_tps2_threshold","003f9970","u16_factor_1/1023","If the tps is above this change threshold\, disable retard1."
"CAL_evap_mode_?_0_1_2","003f9972","uint8_t",""
"CAL_closedloop_stft_avg_reactivity","003f9973","u8_factor_1/256","Every 5ms\, the stft value is mixed with the previous value to build an average. The stft average is then used in the ltft.

Formula: value = (100% - REACTIVITY) * previous + REACTIVITY * sample"
"CAL_evap_?a","003f9974","u8_time_100ms",""
"CAL_evap_enable_inj_time_threshold","003f9975","u8_time_8us","When the INJECTION TIME and idle flow are above their respective thresholds\, enable the evaporative canister purge."
"CAL_evap_disable_inj_time_threshold","003f9976","u8_time_8us","When the injection is below this time threshold\, disable the evaporative canister purge."
"CAL_evap_?b","003f9979","u8_time_100ms",""
"CAL_evap_vacuum_reactivity","003f997a","u8_factor_1/256",""
"CAL_evap_enable_idle_flow_threshold","003f997b","u8_flow_100mg/s","When the injection time and IDLE FLOW are above their respective thresholds\, enable the evaporative canister purge."
"CAL_evap_disable_idle_flow_threshold","003f997c","u8_flow_100mg/s","When the idle is below this flow threshold\, disable the evaporative canister purge."
"CAL_fan_high_on_ac_on","003f997d","u8_temp_5/8-40c","WITH A/C ON: When the engine coolant is above this temperature threshold\, turn on the high speed fan."
"CAL_fan_high_off_ac_on","003f997e","u8_temp_5/8-40c","WITH A/C ON: When the engine coolant is below this temperature threshold\, turn off the high speed fan."
"CAL_ign_advance_idle_adj_ac_on","003f997f","u8_angle_1/4deg","Ignition advance adjustment when A/C is on.

Formula (low cam) : adv = low_cam_base * adj2 * tc_adj + adj1 + (adj3 * adj3_adj) + adj4
Formula (high cam): adv = high_cam_base * adj2 * tc_adj + adj1 + (adj3 * adj3_adj) + adj4
Formula (idle)    : adv = idle_base + idle_adj1 + idle_adj2 + idle_adj3 + IDLE_ADJ_AC_ON
Formula (dfso)    : adv = advance_dfso
Formula (cranking): adv = advance_cranking"
"CAL_ign_advance_min","003f9980","u8_angle_1/4-32deg","Minimum allowable ignition advance."
"CAL_injtip_in_adj_gears_6","003f9981","u8_factor_1/128","Add extra fuel (injection time) based on change in the tps. It's like the accelerator pump of a carburator.

Formula: tip_in(t) = time_base * (dt_tps2 - (adj2 * t)) * adj1 * adj3 * ADJ_GEAR"
"CAL_sensor_engine_speed_period_avg_size","003f9982","uint8_t","Sometimes an average is used on the sampled engine speed period values. This value sets how many samples are used to build the average. Between 1 and 7 (1 no average\, 7 very smooth)."
"CAL_evap_?c","003f9989","u8_time_800ms",""
"CAL_evap_?d","003f998a","u8_time_100ms",""
"CAL_inj_afr_adj_per_advance_adj","003f998b","u8_afr_1/100","Fuel enrichment based on ignition advance (No enleanment allowed).

Formula:

afr_adj = AFR_ADJ_PER_ADVANCE_IGNITION_ADJ * (knock_ign_retard2 - ign_advance_adj1 - ign_advance_adj3)

a = (load / (afr_base - afr_adj)) - evap
b = a / (efficiency * flow_rate)
c = b * adj1 * adj2 * adj3 + tip_in + tip_out + reactive
d = base + ltft_idle + (1 + stft + 2 * ltft) * c

inj_time = d"
"CAL_evap_?e","003f998c","u8_time_100ms",""
"CAL_closedloop_ltft_idle_step","003f998d","u8_time_us","Decrement/Increment for the ltft correction when idling.

Formula (idle): idle_adj = idle_adj -/+ IDLE_STEP"
"CAL_sensor_pps1_gain","003f998f","u8_factor_1/64","Pedal position sensor 1 calibration.

Formula: pps1 = GAIN * (signal - offset)"
"CAL_sensor_pps2_gain","003f9990","u8_factor_1/64","Pedal position sensor 2 calibration. There is 2 potentiometers in the gas pedal for redundancy. The second is usually half of the first.

Formula: pps2 = GAIN * (signal - offset)"
"CAL_sensor_pps_reactivity","003f9992","u8_factor_1/256","Every 5ms\, the sampled pps value is mixed with the previous value.

Formula: value = (100% - REACTIVITY) * previous + REACTIVITY * sample"
"CAL_sensor_map_avg_size","003f9993","uint8_t","An average is used on the sampled MAP values. This value sets how many samples are used to build the average. Between 1 and 31 (1 no average\, 31 very smooth)."
"CAL_tc_front_tyre_circumference","003f9994","u16_length_mm","Circumference of the front tyres. Needed to convert the rotational speed of the wheels into a car speed."
"CAL_tc_mode","003f9996","uint8_t","Traction control mode: 0 = no traction control\, 1 = normal traction control\, 2 = variable traction control."
"CAL_tc_slip_adj2","003f9997","u8_factor_1/100","When the car is slipping the ecu apply a factor to the advance of the ignition. A retard to the ignition makes the engine loose torque.

Formula: ign_adv_adj = 100% - steps - (slip - adj1 - ADJ2) * slip_to_retard_ratio"
"CAL_tc_max_front_speed","003f9998","u8_speed_kph","When the car is above this speed threshold\, disable the traction control."
"CAL_tc_min_front_speed","003f9999","u8_speed_kph","When the car is below this speed threshold\, disable the traction control."
