Address,Text,Response,DataPos,DataSize,DataMask,isSigned,LoFirst,M,C,DPs,TextUnit
22 02 16,Front Right Low Pressure,62 02 16,1,1,32,FALSE,FALSE,0.03125,0,0,
22 02 16,Rear Left Low Pressure,62 02 16,1,1,64,FALSE,FALSE,0.015625,0,0,
22 02 16,Rear Right Low Pressure,62 02 16,1,1,128,FALSE,FALSE,0.0078125,0,0,
22 02 17,Injection Pulse Time (B2),62 02 17,2,2,65535,FALSE,FALSE,1,0,0,us
22 02 18,Octane Scaler Cylinder 1,62 02 18,0,2,65535,FALSE,FALSE,0.001526,0,1,%
22 02 19,Octane Scaler Cylinder 3,62 02 19,0,2,65535,FALSE,FALSE,0.001526,0,1,%
22 02 1A,Octane Scaler Cylinder 4,62 02 1A,0,2,65535,FALSE,FALSE,0.001526,0,1,%
22 02 1B,Octane Scaler Cylinder 2,62 02 1B,0,2,65535,FALSE,FALSE,0.001526,0,1,%
22 02 25,Ambient Air Temperature 22,62 02 25,0,1,255,FALSE,FALSE,0.625,-40,0,degC
22 02 26,Mass Air Per Stroke,62 02 26,0,1,255,FALSE,FALSE,4,0,0,mg
22 02 27,Start-Up Coolant Temperature,62 02 27,0,1,255,FALSE,FALSE,0.625,-40,0,degC
22 02 28,Accumulated Mass Air,62 02 28,0,4,4294967295,FALSE,FALSE,1,0,0,mg
22 02 29,ECU Shutdown Timer,62 02 29,0,4,4294967295,FALSE,FALSE,0.005,0,1,sec
22 02 2A,Engine Load,62 02 2A,0,1,255,FALSE,FALSE,1,0,0,%
22 02 2B,Cam Angle Error (B1 inlet),62 02 2B,0,2,65535,TRUE,FALSE,0.25,0,2,deg
22 02 2C,Idle Speed Error,62 02 2C,0,2,65535,TRUE,FALSE,1,0,0,rpm
22 02 2D,ECU On Timer,62 02 2D,0,2,65535,FALSE,FALSE,0.1,0,1,sec
22 02 2E,Fuel Learn Dead Time (B1),62 02 2E,0,2,65535,TRUE,FALSE,1,0,0,us
22 02 2F,Evaporative Vapour Concentration,62 02 2F,0,2,65535,FALSE,FALSE,2,0,0,
22 02 30,Cam Angle Error,62 02 30,0,2,65535,TRUE,FALSE,0.25,0,2,deg
22 02 31,Knock Spark Advance Retard Cylinder 1,62 02 31,0,1,255,FALSE,FALSE,0.25,0,2,deg
22 02 31,Knock Spark Advance Retard Cylinder 2,62 02 31,1,1,255,FALSE,FALSE,0.25,0,2,deg
22 02 31,Knock Spark Advance Retard Cylinder 3,62 02 31,2,1,255,FALSE,FALSE,0.25,0,2,deg
22 02 31,Knock Spark Advance Retard Cylinder 4,62 02 31,3,1,255,FALSE,FALSE,0.25,0,2,deg
22 02 32,Idle Control Proportional Term,62 02 32,0,2,65535,TRUE,FALSE,0.1,0,1,g/sec
22 02 33,Idle Control Integral Term,62 02 33,0,4,4294967295,TRUE,FALSE,9.76563E-05,0,1,g/sec
22 02 34,Misfire Cylinder 1,62 02 34,0,2,65535,FALSE,FALSE,1,0,0,
22 02 35,Misfire Cylinder 3,62 02 35,0,2,65535,FALSE,FALSE,1,0,0,
22 02 36,Misfire Cylinder 4,62 02 36,0,2,65535,FALSE,FALSE,1,0,0,
22 02 37,Misfire Cylinder 2,62 02 37,0,2,65535,FALSE,FALSE,1,0,0,
22 02 38,Max Misfire Result (emissions),62 02 38,0,2,65535,FALSE,FALSE,0.1,0,1,%
22 02 39,Max Misfire Result (cat damage),62 02 39,0,2,65535,FALSE,FALSE,0.1,0,1,%
22 02 3A,Fuel Learn Timer,62 02 3A,0,2,65535,FALSE,FALSE,0.1,0,1,sec
22 02 3B,Throttle - Target Position,62 02 3B,0,2,65535,FALSE,FALSE,0.0977517,0,2,%
22 02 3C,Idle Learn (AC on),62 02 3C,0,2,65535,TRUE,FALSE,9.76563E-05,0,3,g/sec
22 02 3D,Wheel Speed - LR,62 02 3D,0,2,65535,FALSE,FALSE,0.01,0,2,km/h
22 02 3E,Wheel Speed - RR,62 02 3E,0,2,65535,FALSE,FALSE,0.01,0,2,km/h
22 02 3F,Wheel Speed - LF,62 02 3F,0,2,65535,FALSE,FALSE,0.01,0,2,km/h
22 02 41,Wheel Speed - RF,62 02 41,0,2,65535,FALSE,FALSE,0.01,0,2,km/h
22 02 42,Traction Control - Slip,62 02 42,0,1,255,FALSE,FALSE,1,0,0,%
22 02 43,Traction Control - Target Slip,62 02 43,0,1,255,FALSE,FALSE,1,0,0,%
22 02 44,Pre-Cat O2 Diag Timer (B1),62 02 44,0,2,65535,FALSE,FALSE,0.005,0,2,sec
22 02 45,Throttle Position (0-100%),62 02 45,0,2,65535,FALSE,FALSE,0.0977517,0,2,%
22 02 46,Pedal Position (0-100%),62 02 46,0,2,65535,FALSE,FALSE,0.0977517,0,2,%
22 02 47,Evap Leak Check Result (0.040),62 02 47,0,2,65535,TRUE,FALSE,0.1,0,1,mbar
22 02 48,Fuel Learn Zone 2 (B1),62 02 48,0,1,255,FALSE,FALSE,0.390625,-50,2,%
22 02 49,Fuel Learn Zone 3 (B1),62 02 49,0,1,255,FALSE,FALSE,0.390625,-50,2,%
22 02 4B,VVT Actual Cam Position (B2 inlet),62 02 4B,0,2,65535,TRUE,FALSE,0.25,0,2,deg
22 02 4C,Cat Diag Pre-Cat Sw B2,62 02 4C,0,2,65535,FALSE,FALSE,1,0,0,
22 02 4D,Octane Scaler Cylinder 5,62 02 4D,0,2,65535,FALSE,FALSE,0.001526,0,2,%
22 02 4E,Octane Scaler Cylinder 6,62 02 4E,0,2,65535,FALSE,FALSE,0.001526,0,2,%
22 02 4F,Cam Angle Error (B2 inlet),62 02 4F,0,2,65535,TRUE,FALSE,0.25,0,2,deg
22 02 50,VVT Actual Cam Position (B1 exhaust),62 02 50,0,2,65535,TRUE,FALSE,0.25,0,2,deg
22 02 51,VVT Actual Cam Position (B2 exhaust),62 02 51,0,2,65535,TRUE,FALSE,0.25,0,2,deg
22 02 52,VVT Target Cam Position (exhaust),62 02 52,0,2,65535,TRUE,FALSE,0.25,0,2,deg
22 02 53,Cam Angle Error (B1 exhaust),62 02 53,0,2,65535,TRUE,FALSE,0.25,0,2,deg
22 02 54,Cam Angle Error (B2 exhaust),62 02 54,0,2,65535,TRUE,FALSE,0.25,0,2,deg
22 02 55,Fuel Learn Dead Time (B2),62 02 55,0,2,65535,TRUE,FALSE,1,0,0,us
22 02 56,Knock Spark Advance Retard Cylinder 5,62 02 56,0,1,255,FALSE,FALSE,0.25,0,2,deg
22 02 56,Knock Spark Advance Retard Cylinder 6,62 02 56,1,1,255,FALSE,FALSE,0.25,0,2,deg
22 02 57,Misfire Cylinder 5,62 02 57,0,2,65535,FALSE,FALSE,1,0,0,
22 02 58,Misfire Cylinder 6,62 02 58,0,2,65535,FALSE,FALSE,1,0,0,
22 02 59,Pre-Cat O2 Diag Timer (B2),62 02 59,0,2,65535,FALSE,FALSE,0.005,0,3,sec
22 02 5A,Fuel Learn Zone 2 (B2),62 02 5A,0,1,255,FALSE,FALSE,0.390625,-50,2,%
22 02 5B,Fuel Learn Zone 3 (B2),62 02 5B,0,1,255,FALSE,FALSE,0.390625,-50,2,%
22 02 5C,Traction Control Switch,62 02 5C,0,1,255,FALSE,FALSE,1,0,0,
22 02 5D,Sport Button,62 02 5D,0,1,255,FALSE,FALSE,1,0,0,
22 02 5E,Clutch Sensor,62 02 5E,0,1,255,FALSE,FALSE,1,0,0,
22 02 5F,Brake Switch (Upper),62 02 5F,0,1,255,FALSE,FALSE,1,0,0,
22 02 61,Cruise Status,62 02 61,0,1,255,FALSE,FALSE,1,0,0,
22 02 62,A/C Evaporator Temperature,62 02 62,0,1,255,FALSE,FALSE,0.1,0,1,degC
22 02 65,Brake Switch (Lower),62 02 65,0,1,3,FALSE,FALSE,1,0,0,
22 02 66,ValveMatic Target Angle,62 02 66,0,2,65535,FALSE,FALSE,0.009766,0,2,deg
22 02 67,ValveMatic Actuator Angle,62 02 67,0,2,65535,FALSE,FALSE,0.009766,0,2,deg
22 02 68,Engine Bay Cooling Fan Control,62 02 68,0,1,1,FALSE,FALSE,1,0,0,
22 02 68,HVAC Recirculation Valve Control,62 02 68,0,1,2,FALSE,FALSE,0.5,0,0,
22 02 68,M/T Transmission Oil Pump Control,62 02 68,0,1,4,FALSE,FALSE,0.25,0,0,
22 02 69,Clutch Sensor (Raw Data),62 02 69,0,2,65535,FALSE,FALSE,1,0,0,
22 02 6A,Engine Torque,62 02 6A,0,2,65535,TRUE,FALSE,1,0,0,Nm
22 02 6B,Cold Idle Learn,62 02 6B,0,2,65535,TRUE,FALSE,9.76563E-05,0,2,g/sec
22 02 6C,Cold Idle Learn (AC on),62 02 6C,0,2,65535,TRUE,FALSE,9.76563E-05,0,2,g/sec
22 02 6D,DPM Switch Position,62 02 6D,0,1,3,FALSE,FALSE,1,0,0,
22 02 6E,Exhaust Valve Override Switch Status,62 02 6E,0,1,3,FALSE,FALSE,1,0,0,
22 02 6F,Vehicle Mode,62 02 6F,0,1,7,FALSE,FALSE,1,0,0,
22 02 70,Paddle Shift Sensor (Raw Data),62 02 70,0,2,65535,FALSE,FALSE,1,0,0,
22 02 71,Dura Position Learn Status,62 02 71,0,1,255,FALSE,FALSE,1,0,0,
22 02 72,Inlet Manifold Temperature,62 02 72,0,1,255,FALSE,FALSE,0.627451,-40,1,degC
22 02 73,TCU sport switch status,62 02 73,0,1,3,FALSE,FALSE,1,0,0,
22 02 75,Auto Trans Oil Temperature,62 02 75,0,1,255,FALSE,FALSE,1,-40,0,degC
22 02 76,Auto Gear,62 02 76,0,1,255,FALSE,FALSE,1,0,0,
22 02 77,Engine Speed (Received from ECU),62 02 77,0,2,65535,FALSE,FALSE,0.25,0,2,rpm
22 02 78,Gear Request,62 02 78,0,1,255,FALSE,FALSE,1,0,0,
22 02 79,Input Shaft Speed,62 02 79,0,2,65535,FALSE,FALSE,1,0,0,rpm
22 02 7A,Output Shaft Speed,62 02 7A,0,2,65535,FALSE,FALSE,1,0,0,rpm
22 02 7B,SL1 Pressure Switch Status,62 02 7B,0,1,3,FALSE,FALSE,1,0,0,
22 02 7C,SL2 Pressure Switch Status,62 02 7C,0,1,3,FALSE,FALSE,1,0,0,
22 02 7D,SLU Pressure Switch Status,62 02 7D,0,1,3,FALSE,FALSE,1,0,0,
22 02 7E,Dura Position Sensor 1,62 02 7E,0,2,65535,FALSE,FALSE,0.01,0,2,%
22 02 7F,Dura Position Sensor 2,62 02 7F,0,2,65535,FALSE,FALSE,0.01,0,2,%
22 02 81,Current Dura Position,62 02 81,0,2,65535,FALSE,FALSE,0.1,0,1,%
22 02 82,Learnt Dura Position Park,62 02 82,0,2,65535,FALSE,FALSE,0.1,0,1,%
22 02 83,Learnt Dura Position Reverse,62 02 83,0,2,65535,FALSE,FALSE,0.1,0,1,%
22 02 84,Learnt Dura Position Neutral,62 02 84,0,2,65535,FALSE,FALSE,0.1,0,1,%
22 02 85,Learnt Dura Position Drive,62 02 85,0,2,65535,FALSE,FALSE,0.1,0,1,%
22 02 86,PRND Feedback Switch status - Park,62 02 86,0,1,3,FALSE,FALSE,1,0,0,
22 02 87,PRND Feedback Switch status - Reverse,62 02 87,0,1,3,FALSE,FALSE,1,0,0,
22 02 88,PRND Feedback Switch status - Neutral,62 02 88,0,1,3,FALSE,FALSE,1,0,0,
22 02 89,PRND Feedback Switch status - Drive,62 02 89,0,1,3,FALSE,FALSE,1,0,0,
22 02 8A,Park Request Switch,62 02 8A,0,1,3,FALSE,FALSE,1,0,0,
22 02 8B,Reverse Request Switch,62 02 8B,0,1,3,FALSE,FALSE,1,0,0,
22 02 8C,Neutral Request Switch,62 02 8C,0,1,3,FALSE,FALSE,1,0,0,
22 02 8D,Drive Request Switch,62 02 8D,0,1,3,FALSE,FALSE,1,0,0,
22 02 8E,Gear Ratio,62 02 8E,0,2,65535,FALSE,FALSE,0.001,0,3,
22 02 8F,Commanded Torque Converter Status,62 02 8F,0,1,3,FALSE,FALSE,1,0,0,
22 02 90,Green Learn Status,62 02 90,0,1,1,FALSE,FALSE,1,0,0,
22 02 91,Slip learn status flags - Gear 2,62 02 91,0,1,1,FALSE,FALSE,1,0,0,
22 02 91,Slip learn status flags - Gear 3 Low Index,62 02 91,0,1,2,FALSE,FALSE,0.5,0,0,
22 02 91,Slip learn status flags - Gear 3 High Index,62 02 91,0,1,4,FALSE,FALSE,0.25,0,0,
22 02 91,Slip learn status flags - Gear 4 Low Index,62 02 91,0,1,8,FALSE,FALSE,0.125,0,0,
22 02 91,Slip learn status flags - Gear 4 High Index,62 02 91,0,1,16,FALSE,FALSE,0.0625,0,0,
22 02 91,Slip learn status flags - Gear 5 Low Index,62 02 91,0,1,32,FALSE,FALSE,0.03125,0,0,
22 02 91,Slip learn status flags - Gear 5 High Index,62 02 91,0,1,64,FALSE,FALSE,0.015625,0,0,
22 02 91,Slip learn status flags - Gear 6,62 02 91,0,1,128,FALSE,FALSE,0.0078125,0,0,
22 02 92,Green Learn Target Load Minimum,62 02 92,0,1,255,FALSE,FALSE,2.588235,-60,2,Nm
22 02 93,Green Learn Target Load Maximum,62 02 93,0,1,255,FALSE,FALSE,2.588235,-60,2,Nm
22 02 94,Input Shaft Load,62 02 94,0,1,255,FALSE,FALSE,2.588235,-60,2,Nm
22 02 95,Green Learn No. Complete current bin ,62 02 95,0,1,255,FALSE,FALSE,1,0,0,
22 02 96,Green Learn Target No. current bin,62 02 96,0,1,255,FALSE,FALSE,1,0,0,
22 02 97,Torque Converter Slip,62 02 97,0,2,65535,FALSE,FALSE,1,0,0,rpm
22 02 98,Solenoid SL Duty Cycle,62 02 98,0,2,65535,TRUE,FALSE,0.01,0,2,%
22 02 99,Solenoid SL1 Duty Cycle,62 02 99,0,2,65535,TRUE,FALSE,0.01,0,2,%
22 02 9A,Solenoid SL2 Duty Cycle,62 02 9A,0,2,65535,TRUE,FALSE,0.01,0,2,%
22 02 9B,Solenoid SL3 Duty Cycle,62 02 9B,0,2,65535,TRUE,FALSE,0.01,0,2,%
22 02 9C,Solenoid SL4 Duty Cycle,62 02 9C,0,2,65535,TRUE,FALSE,0.01,0,2,%
22 02 9D,Solenoid SLT Duty Cycle,62 02 9D,0,2,65535,TRUE,FALSE,0.01,0,2,%
22 02 9E,Solenoid SLU Duty Cycle,62 02 9E,0,2,65535,TRUE,FALSE,0.01,0,2,%
22 02 9F,Solenoid SL Demand,62 02 9F,0,2,65535,TRUE,FALSE,0.01,0,2,%
22 02 A1,Solenoid SL1 Demand,62 02 A1,0,2,65535,TRUE,FALSE,0.01,0,2,%
22 02 A2,Solenoid SL2 Demand,62 02 A2,0,2,65535,TRUE,FALSE,0.01,0,2,%
22 02 A3,Solenoid SL3 Demand,62 02 A3,0,2,65535,TRUE,FALSE,0.01,0,2,%
22 02 A4,Solenoid SL4 Demand,62 02 A4,0,2,65535,TRUE,FALSE,0.01,0,2,%
22 02 A5,Solenoid SLT Demand,62 02 A5,0,2,65535,TRUE,FALSE,0.01,0,2,%
22 02 A6,Solenoid SLU Demand,62 02 A6,0,2,65535,TRUE,FALSE,0.01,0,2,%
22 02 A7,Handbrake Status,62 02 A7,0,1,3,FALSE,FALSE,1,0,0,
22 02 B0,SLU Learn Complete Flag,62 02 B0,0,1,1,FALSE,FALSE,1,0,0,
22 02 B1,SLU Learn learned-value,62 02 B1,0,2,65535,TRUE,FALSE,0.01,0,2,%
22 02 B2,SLU Learn Process state,62 02 B2,0,1,1,FALSE,FALSE,1,0,0,
22 02 B4,SLU Learn Target Load Minimum,62 02 B4,0,1,255,FALSE,FALSE,1,-60,0,Nm
22 02 B5,SLU Learn Target Load Maximum,62 02 B5,0,1,255,FALSE,FALSE,1,-60,0,Nm
22 02 B6,SLU Learn Target Speed Minimum,62 02 B6,0,1,255,FALSE,FALSE,1,0,0,km/h
22 02 B7,SLU Learn Target Speed Maximum,62 02 B7,0,1,255,FALSE,FALSE,1,0,0,km/h
22 02 C1,Historical Charge Air Cooler Pump Status,62 02 C1,0,1,1022,FALSE,FALSE,1,0,0,
22 02 C2,Current Charge Air Cooler Pump Status,62 02 C2,0,1,1022,FALSE,FALSE,1,0,0,
22 02 C3,Historical Fuel Pump Status,62 02 C3,0,1,126,FALSE,FALSE,1,0,0,
22 02 C4,Current Fuel Pump Status,62 02 C4,0,1,126,FALSE,FALSE,1,0,0,
22 02 C5,HVAC System Cold Temperature Request Status,62 02 C5,0,1,3,FALSE,FALSE,1,0,0,
22 02 C6,Race Switch,62 02 C6,0,1,3,FALSE,FALSE,1,0,0,
22 02 C7,Manual transmission oil temperature,62 02 C7,0,1,255,FALSE,FALSE,1,-55,0,degC
22 02 C8,Radiator Fan Duty Cycle Request,62 02 C8,0,1,255,FALSE,FALSE,0.3921569,0,0,%
22 02 C9,Charge Air Cooler Pump Duty Cycle Request,62 02 C9,0,1,255,FALSE,FALSE,0.3921569,0,0,%
22 02 CA,Fuel Pump Duty Cycle Request,62 02 CA,0,1,255,FALSE,FALSE,0.3921569,0,0,%
22 02 CB,Fuel Pump Closed Loop Correction Term,62 02 CB,0,1,255,FALSE,FALSE,0.3921569,0,0,%
22 02 CC,Historical Radiator Fan Status,62 02 CC,0,1,126,FALSE,FALSE,1,0,0,
22 02 CD,Current Radiator Fan Status,62 02 CD,0,1,126,FALSE,FALSE,1,0,0,
22 02 CE,Speed Density MAF Error,62 02 CE,0,2,65535,FALSE,FALSE,1,0,0,
22 02 CF,AlphaN MAF Error,62 02 CF,0,2,65535,FALSE,FALSE,1,0,0,
22 02 D0,Traction Control '+' Switch,62 02 D0,0,1,3,FALSE,FALSE,1,0,0,
22 02 D1,Traction Control '-' Switch,62 02 D1,0,1,3,FALSE,FALSE,1,0,0,
22 02 D2,Traction Control Potentiometer Switch (Raw Data),62 02 D2,0,2,65535,FALSE,FALSE,1,0,0,
